time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1714762778271425800,4594.28042578125,45,0.2565179765224457,1.4555152654647827,10.324000358581543,1.2620644569396973,278.7937927246094,136.3000030517578,-77.6772966,43.0850971
1714762779471082200,4595.4800822753905,45,0.18718841671943665,1.4548382759094238,10.718000411987305,1.2237619161605835,279.3011779785156,136.3000030517578,-77.6773144,43.0850987
1714762780591019800,4596.600019775391,45,0.23349541425704956,1.2201546430587769,11.175000190734863,1.2624773979187012,277.5068664550781,136.3000030517578,-77.6773308,43.0851006
1714762781829868800,4597.838868896484,45,0.23851025104522705,1.2468777894973755,11.696000099182129,1.258117914199829,277.76715087890625,136.3000030517578,-77.6773504,43.0851028
1714762783031035400,4599.0400354003905,45,0.2351660579442978,1.1458531618118286,12.322999954223633,1.2373520135879517,278.13934326171875,136.3000030517578,-77.6773696,43.0851039
1714762783809696800,4599.818696777344,45,0.2204233855009079,0.9515889286994934,12.836000442504883,1.2030308246612549,276.84625244140625,136.3000030517578,-77.6773808,43.0851034
1714762784299229700,4600.308229736328,45,0.2566674053668976,0.9515889286994934,12.312999725341797,1.1979385614395142,276.1708984375,136.3000030517578,-77.6773921,43.0850979
1714762785914493400,4601.923493408203,45,0.2628122866153717,1.0718621015548706,11.951000213623047,1.0026179552078247,1.7247430086135864,136.3000030517578,-77.6774121,43.0850972
1714762786557375700,4602.566375732422,45,0.2302120327949524,1.0718621015548706,11.607999801635742,1.041373372077942,67.96598052978516,136.3000030517578,-77.6774066,43.0851004
1714762786934456800,4602.943456787109,45,0.27754008769989014,1.0821161270141602,11.112000465393066,1.0259482860565186,84.62532043457031,136.3000030517578,-77.6774,43.0851001
1714762788111985400,4604.120985351563,45,0.30641019344329834,1.110896348953247,10.446000099182129,1.1080260276794434,90.43284606933594,136.3000030517578,-77.6773822,43.0850984
1714762789233533700,4605.242533691407,45,0.2783646583557129,1.22927987575531,9.66100025177002,1.2448104619979858,88.40921783447266,136.3000030517578,-77.6773634,43.0850966
1714762790096153300,4606.105153320313,45,0.24367931485176086,1.22927987575531,9.562999725341797,1.2581987380981445,89.1849365234375,136.3000030517578,-77.6773476,43.0850958
1714762790433120300,4606.442120361328,45,0.19467034935951233,1.2019463777542114,9.484000205993652,1.2807801961898804,90.47593688964844,136.3000030517578,-77.6773402,43.0850954
1714762791195412500,4607.204412597656,45,0.23082053661346436,1.2019463777542114,9.340999603271484,1.2820243835449219,88.64420318603516,136.3000030517578,-77.6773263,43.0850952
1714762791612957400,4607.621957519531,45,0.22105562686920166,1.1270747184753418,9.21500015258789,1.2981767654418945,86.95781707763672,136.3000030517578,-77.6773179,43.0850952
1714762792435431000,4608.444430908203,45,0.18233630061149597,1.1270747184753418,9.104000091552734,1.2921732664108276,87.93828582763672,136.3000030517578,-77.6773029,43.0850958
1714762792792931300,4608.801931396484,45,0.228037491440773,1.1910078525543213,9.102999687194824,1.2887825965881348,89.47142791748047,136.3000030517578,-77.6772959,43.0850958
1714762793616776400,4609.625776367187,45,0.17484724521636963,1.1910078525543213,9.083999633789062,1.298692226409912,88.32455444335938,136.3000030517578,-77.6772806,43.0850957
1714762793800717300,4609.809717285157,45,0.17484724521636963,1.0897111892700195,9.105999946594238,1.298810601234436,87.9735336303711,136.3000030517578,-77.6772772,43.0850956
1714762793951093200,4609.960093261719,45,0.2234901636838913,1.0897111892700195,8.972000122070312,1.2985730171203613,87.69332122802734,136.3000030517578,-77.6772685,43.0850937
1714762794776524500,4610.785524658203,45,0.2108726054430008,1.0897111892700195,8.82699966430664,1.3188174962997437,85.67969512939453,136.3000030517578,-77.6772498,43.0850924
1714762795121103600,4611.130103515625,45,0.2524685561656952,1.1727832555770874,8.696999549865723,1.3246735334396362,83.64360809326172,136.3000030517578,-77.6772415,43.0850919
1714762795875375400,4611.884375244141,45,0.23064686357975006,1.1727832555770874,8.592000007629395,1.3303108215332031,80.22905731201172,136.3000030517578,-77.6772268,43.0850921
1714762796252499500,4612.261499511719,45,0.2635538876056671,1.0721025466918945,8.503000259399414,1.327667236328125,78.12596130371094,136.3000030517578,-77.6772194,43.0850925
1714762797053783600,4613.062783447265,45,0.23173165321350098,1.6261744499206543,8.407999992370605,1.31732177734375,73.99992370605469,136.3000030517578,-77.6772054,43.0850947
1714762797412268800,4613.421268798828,45,0.18411360681056976,1.6261744499206543,8.380000114440918,1.3295716047286987,72.596435546875,136.3000030517578,-77.6771989,43.0850959
